namespace,czovizerjsoncd,field_program,czo_shortname,czo_url
,boulder,Boulder Critical Zone Observatory (CZO),Boulder CZO,http://criticalzone.org/boulder
IEJCA,calhoun,Calhoun Critical Zone Observatory (CZO),Calhoun CZO,http://criticalzone.org/calhoun
,catalinajemez,Catalina-Jemez Critical Zone Observatory (CZO),Catalina-Jemez CZO,http://criticalzone.org/jemez-catalina
IESW1,christina,Christina Critical Zone Observatory (CZO),Christina CZO,http://criticalzone.org/christina
,eel,Eel Critical Zone Observatory (CZO),Eel CZO,http://criticalzone.org/eel
IENWU,iml,IML Critical Zone Observatory (CZO),IML CZO,http://criticalzone.org/iml
IELCZ;LCZ,luquillo,Luquillo Critical Zone Observatory (CZO),Luquillo CZO,http://criticalzone.org/luquillo
IERCO,reynolds,Reynolds Critical Zone Observatory (CZO),Reynolds CZO,http://criticalzone.org/reynolds
SSH,shalehills,Susquehanna Shale Hills Critical Zone Observatory (CZO),Shale Hills CZO,http://criticalzone.org/shale-hills
IE117,sierra,Sierra Critical Zone Observatory (CZO),Sierra CZO,http://criticalzone.org/sierra
,nationalnetwork,National Critical Zone Observatory (CZO),,
